Tue. Aug. 25, 2020             LANDSAT 5                 Time: 00:12
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010097160101_HDF.202250957
Acquisition Date: Apr 07, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400528_01   29.499869  -89.675263   -19.365      -1.179     0.846    -1.312     0.623
0210400530_01   29.243756  -89.155702   -23.000      -5.868    -5.782    -4.740    -6.740
0210400532_01   29.713960  -89.632856   -18.398      -5.251    -5.013    -4.271    -5.872
0210400534_01   29.139397  -89.197941   -24.000      -0.264    -2.942     0.266    -2.943
0210400536_01   29.729677  -89.672331   -18.718       2.499     0.834     2.311     1.267
0210400537_01   29.032864  -89.156882   -24.000       0.355     1.348     0.109     1.390
0210400538_01   29.527802  -89.711258   -16.245       3.396    -2.628     3.814    -1.981
0210400539_01   29.373525  -89.645720   -25.471       4.573     4.703     3.660     5.446
0210400542_01   29.334455  -89.595930   -23.361       2.559     5.465     1.541     5.837
0210400545_01   29.454669  -89.578838   -20.301       0.758    -0.346     0.808    -0.205
0210400548_01   29.577829  -89.713851   -18.289      -0.425    -0.222    -0.378    -0.295
0210400552_01   29.741609  -89.356989   -29.410      -3.839     0.217    -3.817    -0.472
0210400554_01   29.329667  -89.646120   -22.373      -3.810     3.339    -4.349     2.607
0210400556_01   29.350919  -89.394612   -28.172      -3.101    -6.138    -1.954    -6.596
0210400557_01   29.398888  -89.783576   -23.888      -2.604     0.762    -2.700     0.285
0210400559_01   29.393336  -89.697509   -20.328      -3.396     2.049    -3.710     1.410
0210400560_01   29.385865  -89.538189   -22.483       4.064     1.292     3.769     1.998
0210400561_01   29.364782  -89.479897   -25.105       1.740    -6.430     2.863    -6.019
0210400563_01   29.252809  -89.214556   -25.000      -3.887    -1.551    -3.548    -2.221
0210400569_01   29.484373  -89.744755   -19.657       2.412     0.944     2.206     1.360
0210400572_01   29.280637  -89.217927   -23.000      -5.996    -4.170    -5.156    -5.176
0210400575_01   29.464339  -89.609368   -16.587       3.469    -4.998     4.309    -4.300
0210400576_01   29.181954  -89.126665   -24.000      -0.362     2.799    -0.857     2.690
0210400577_01   29.418776  -89.776384   -20.839      -1.104    -0.751    -0.953    -0.937
0210400579_01   29.402940  -89.743818   -22.059       2.756     3.130     2.153     3.574
0210400583_01   29.027095  -89.325216   -20.000       1.365    -2.363     1.766    -2.082
0210400587_01   29.395704  -89.673466   -21.764      -0.783     0.344    -0.833     0.199
0210400589_01   29.211835  -89.188061   -22.000      -4.323    -2.336    -3.837    -3.072
0210400592_01   29.129886  -89.232876   -22.000       4.197    -6.345     5.266    -5.495
0210400594_01   29.417821  -89.566812   -24.203      -0.297    -0.731    -0.161    -0.773
0210400595_01   29.420784  -89.636732   -21.707      -0.435     1.038    -0.614     0.944
0210400598_01   29.313959  -89.279795   -21.000      -1.253    -1.383    -0.985    -1.585
0210400600_01   29.421528  -89.708759   -18.300       0.008     1.854    -0.324     1.827
0210400601_01   29.298867  -89.212764   -24.000      -2.775     0.591    -2.837     0.086
0210400602_01   29.319737  -89.710084   -19.115      -1.884     0.755    -1.990     0.407
0210400605_01   29.648617  -89.639199   -19.487       3.356     6.131     2.206     6.635
0210400606_01   29.466741  -89.733456   -17.049       2.038     0.416     1.932     0.774
0210400607_01   29.459217  -89.757685   -21.275       1.041    -1.859     1.357    -1.645
0210400608_01   29.242972  -89.422657   -26.482      -1.646     4.342    -2.397     3.980
0210400609_01   29.384824  -89.507880   -22.268       1.717     4.125     0.952     4.367
0210400610_01   29.312996  -89.668235   -25.640      -5.129     2.610    -5.516     1.653
0210400611_01   29.068313  -89.289173   -18.000       3.189     1.686     2.837     2.230
0210400615_01   29.156676  -89.132936   -26.000       1.498     2.864     0.962     3.087
0210400619_01   29.690321  -89.454358   -24.309       0.953     1.816     0.613     1.958
0210400622_01   29.350194  -89.648509   -22.594      -1.117     3.525    -1.730     3.271
0210400624_01   29.437027  -89.664650   -22.944      -1.307     0.997    -1.465     0.747
0210400626_01   29.440243  -89.772327   -21.274      -0.214     0.684    -0.333     0.635
0210400627_01   29.421449  -89.685876   -16.923      -0.030     2.781    -0.527     2.733
0210400629_01   29.484924  -89.650750   -21.222      -1.636    -0.865    -1.455    -1.143
0210400631_01   29.438847  -89.721888   -18.058      -0.639     1.524    -0.902     1.386
0210400633_01   29.343427  -89.716578   -18.615       0.085     2.950    -0.444     2.920
0210400634_01   29.308391  -89.614711   -22.344      -1.577     3.340    -2.150     3.007
0210400635_01   29.441921  -89.742998   -17.541       2.164     1.117     1.930     1.486
0220390291_01   29.515373  -89.726439    -6.496      -2.470    -5.391    -1.467    -5.749
0220390442_01   29.515908  -89.767603   -16.041       0.353     0.973     0.173     1.020
0220390458_01   29.496227  -89.694304   -16.016       2.049    -1.166     2.226    -0.782
0220390465_01   29.586436  -89.797225   -21.732       5.199     3.935     4.414     4.803
0220390649_01   29.541314  -89.734004   -20.150      -3.670    -5.251    -2.673    -5.825
0220390666_01   29.563009  -89.736082   -21.770       6.018     0.658     5.806     1.722
0220400027_01   29.382236  -89.595215   -24.489      -0.004    -1.823     0.322    -1.796
0220400038_01   29.369726  -89.537782   -16.166       5.233    -5.166     6.075    -4.150
0220400068_01   29.515374  -89.726466   -39.206      -4.930    -5.569    -3.857    -6.364
0220400081_01   29.496231  -89.694010   -19.781      -1.090    -0.648    -0.957    -0.833
0220400108_01   29.390874  -89.788225   -31.927       1.808    -6.925     3.019    -6.495
0220400113_01   29.541296  -89.733699   -18.564      -2.174    -5.681    -1.124    -5.982
0220400133_01   29.515906  -89.767567   -17.990      -0.029    -0.778     0.110    -0.772
0220400146_01   29.463099  -89.623143   -21.129       6.928     1.282     6.590     2.500
0220400190_01   29.445228  -89.611359   -20.750      -4.620    -6.060    -3.463    -6.791
0220400197_01   29.552146  -89.790842   -22.031      -2.009    -6.160    -0.875    -6.424
0220400212_01   29.404186  -89.607766   -23.084      -4.896    -4.701    -3.978    -5.503
0220400292_01   29.451634  -89.653799   -21.177       1.680     6.752     0.445     6.947
0220400330_01   29.536509  -89.736616   -16.704       6.953     0.061     6.834     1.302
0220400349_01   29.418151  -89.567207   -24.960       0.554    -3.734     1.214    -3.577
0220400389_01   29.401269  -89.751540   -16.973       3.625     1.548     3.292     2.171
0220400403_01   29.537561  -89.712482   -14.950      -2.817     1.235    -2.994     0.713
0220400411_01   29.460290  -89.558334   -21.118       0.725    -0.418     0.788    -0.282
0220400485_01   29.431703  -89.539803   -20.026       4.083     6.353     2.882     6.983
0220400537_01   29.563012  -89.714749   -19.993       3.263    -5.216     4.145    -4.552
0220400539_01   29.380121  -89.781169   -16.495      -0.781    -4.074    -0.040    -4.151
0220400578_01   29.498002  -89.657464   -21.795       0.032    -5.588     1.032    -5.495
0220400635_01   29.331244  -89.674954   -23.422       2.944     2.487     2.453     2.974
