Mon. Aug. 24, 2020             LANDSAT 5                 Time: 21:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010129160100_HDF.202250838
Acquisition Date: May 09, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400175_01   29.644802  -89.707269   -25.046       0.681    -0.158     0.698    -0.034
0210400176_01   29.644675  -89.739134   -24.067       1.059     0.437     0.964     0.619
0210400178_01   29.331837  -89.776455   -20.614       5.469    -2.027     5.747    -1.019
0210400180_01   29.740092  -89.691818   -18.185       2.933    -1.316     3.122    -0.772
0210400181_01   29.483446  -89.644825   -25.199      -2.440    -0.671    -2.282    -1.096
0210400182_01   29.236400  -89.326138   -24.000      -3.684    -1.282    -3.397    -1.920
0210400183_01   29.608750  -89.723641   -17.990       0.267     0.766     0.125     0.802
0210400184_01   29.669133  -89.734852   -20.453       1.366    -0.440     1.423    -0.189
0210400185_01   29.364191  -89.584674   -27.040      -2.164     5.057    -3.035     4.592
0210400189_01   29.146555  -89.174346   -25.000       2.254    -2.116     2.597    -1.680
0210400190_01   29.153403  -89.393082   -23.000      -2.815    -2.603    -2.305    -3.065
0210400192_01   29.527585  -89.544795   -24.110       2.537     0.051     2.488     0.503
0210400193_01   29.289164  -89.440770   -29.202       4.229     3.638     3.512     4.336
0210400195_01   29.265051  -89.213232   -24.414      -2.669    -0.887    -2.469    -1.350
0210400196_01   29.247659  -89.462491   -20.690       2.404    -1.540     2.642    -1.086
0210400197_01   29.679516  -89.663570   -18.248      -2.025    -1.566    -1.713    -1.902
0210400198_01   29.328218  -89.526555   -18.241      -0.199    -0.345    -0.135    -0.375
0210400199_01   29.270333  -89.154693   -23.073       0.666     0.860     0.501     0.966
0210400201_01   29.206816  -89.430110   -26.834       1.546    -0.887     1.680    -0.597
0210400204_01   29.426689  -89.693454   -18.634       0.858     1.547     0.568     1.676
0210400207_01   29.249496  -89.185805   -24.103      -3.866     4.377    -4.587     3.617
0210400209_01   29.299264  -89.467257   -24.324       3.113     6.097     1.974     6.558
0210400218_01   29.307640  -89.217231   -24.339       3.720    -3.693     4.322    -2.970
0210400221_01   29.136165  -89.196622   -22.579      -2.098     0.275    -2.114    -0.104
0210400226_01   29.709857  -89.608571   -17.431      -1.603     0.712    -1.705     0.415
0210400227_01   29.181154  -89.122395   -23.045      -0.214     3.082    -0.762     2.995
0210400228_01   29.382241  -89.513425   -19.096       3.208     3.551     2.522     4.068
0210400230_01   29.257292  -89.553544   -24.133      -0.355     3.544    -0.983     3.426
0210400232_01   29.730642  -89.665271   -18.792       0.859     3.304     0.255     3.406
0210400233_01   29.380252  -89.781208   -18.278      -0.282    -3.956     0.430    -3.945
0210400236_01   29.354768  -89.435471   -26.013       6.617     3.912     5.814     5.032
0210400237_01   29.458609  -89.557953   -25.485      -0.641     1.946    -0.979     1.802
0210400238_01   29.599796  -89.750931   -23.142       0.720    -3.805     1.389    -3.617
0210400239_01   29.706093  -89.582884   -25.388      -6.574     1.541    -6.747     0.344
0210400241_01   29.537403  -89.691999   -25.962      -0.173    -2.392     0.258    -2.386
0210400242_01   29.691525  -89.629140   -23.497       2.934    -2.033     3.252    -1.477
0210400243_01   29.760920  -89.584781   -21.274       2.038    -2.386     2.432    -1.985
0210400244_01   29.308173  -89.734549   -20.922       4.132    -3.351     4.667    -2.562
0210400245_01   29.731229  -89.713274   -23.793       3.685     0.317     3.571     0.970
0210400249_01   29.450413  -89.710802   -23.462       2.280     1.885     1.907     2.263
0210400251_01   29.634279  -89.679406   -17.255      -0.487    -1.563    -0.200    -1.626
0210400254_01   29.676358  -89.686084   -22.873       0.382    -1.207     0.592    -1.119
0210400255_01   29.347994  -89.332183   -21.340      -0.594     2.968    -1.116     2.815
0210400256_01   29.432981  -89.666063   -17.641      -3.589    -1.880    -3.197    -2.492
0210400258_01   29.343748  -89.355823   -23.000       1.519     0.738     1.363     0.997
0210400259_01   29.725515  -89.609605   -16.315       1.279     4.662     0.425     4.818
0210400260_01   29.523996  -89.671559   -25.596       1.336    -2.703     1.798    -2.422
0210400263_01   29.768887  -89.661602   -24.594      -2.593     5.728    -3.577     5.176
0210400265_01   29.108582  -89.161534   -25.000      -1.590     1.650    -1.860     1.340
0210400266_01   29.713600  -89.633504   -22.199       5.044    -1.191     5.178    -0.272
0210400269_01   29.284160  -89.343335   -21.000      -4.834    -6.808    -3.541    -7.565
0210400273_01   29.372160  -89.752494   -18.183       0.903    -3.405     1.498    -3.191
0210400275_01   29.754195  -89.609697   -22.521       2.084     1.731     1.742     2.076
0210400277_01   29.338640  -89.259428   -22.332       2.841     5.898     1.742     6.312
0210400280_01   29.209987  -89.151004   -23.950      -5.978    -3.343    -5.285    -4.358
0210400281_01   29.659791  -89.612597   -20.849      -5.865     6.378    -6.914     5.232
0210400283_01   29.209114  -89.201561   -24.000       3.544    -2.060     3.857    -1.394
0210400286_01   29.594406  -89.683661   -18.704       0.944     2.979     0.397     3.101
0210400287_01   29.404069  -89.520816   -22.069      -0.409     2.447    -0.840     2.336
0210400289_01   29.336964  -89.582360   -23.954      -6.555     2.904    -6.972     1.689
0210400292_01   29.751657  -89.656191   -20.336       0.809     2.674     0.318     2.777
0210400294_01   29.567375  -89.683876   -23.049      -1.792     1.992    -2.120     1.641
0210400297_01   29.431822  -89.542720   -20.457      -5.149     3.054    -5.615     2.087
0210400298_01   29.314521  -89.686808   -23.219      -1.773     1.675    -2.045     1.332
0210400301_01   29.174331  -89.142603   -22.934       4.193     0.442     4.048     1.184
0210400303_01   29.662016  -89.658163   -18.541       1.050    -0.298     1.087    -0.106
0210400304_01   29.598917  -89.621788   -17.249      -2.815    -5.510    -1.786    -5.927
0210400305_01   29.422333  -89.750833   -18.186      -3.943     2.362    -4.304     1.622
0210400309_01   29.401413  -89.751555   -18.334       3.213     5.453     2.187     5.943
0210400310_01   29.663160  -89.709006   -19.254       1.703    -0.636     1.790    -0.322
0210400312_01   29.272542  -89.373016   -22.799       4.452     0.587     4.277     1.373
0210400314_01   29.718050  -89.685040   -23.417       1.072    -2.020     1.416    -1.798
