==============================================================================
==============================================================================
Mon. Aug. 24 2020                  LANDSAT 5                       Time: 20:23
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 21 / 40
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0210401824   29.18054    -89.42901    -0.07      0.25     0.25     1 
0210401826   29.18171    -89.36365     0.00      0.05     0.05     1 
0210401829   29.18340    -89.26561    -0.02      0.02     0.03     1 
0210401830   29.18395    -89.23293     0.08     -0.06     0.10     1 
0210401832   29.18503    -89.16756     0.37     -0.23     0.44     1 
0210401833   29.18555    -89.13488     0.26     -0.34     0.43     1 
0210401835   29.18658    -89.06951     0.02     -0.13     0.13     1 
0210401900   29.15570    -89.39574    -0.09      0.01     0.09     1 
0210401901   29.15628    -89.36307     0.32      0.06     0.33     1 
0210401902   29.15685    -89.33040     0.22      0.06     0.23     1 
0210401904   29.15797    -89.26505    -0.02      0.04     0.04     1 
0210401907   29.15959    -89.16703    -0.22      0.22     0.31     1 
0210401908   29.16012    -89.13435    -0.04     -0.09     0.10     1 
0210401975   29.13027    -89.39515    -0.14      0.11     0.17     1 
0210401978   29.13198    -89.29716    -0.06     -0.03     0.06     1 
0210401979   29.13254    -89.26449    -0.08      0.14     0.16     1 
0210401981   29.13363    -89.19916     0.00      0.01     0.01     1 
0210401982   29.13416    -89.16649     0.03      0.16     0.16     1 
0210401983   29.13468    -89.13383    -0.07      0.12     0.14     1 
0210401984   29.13520    -89.10116    -0.01     -0.19     0.19     1 
0210402053   29.10655    -89.29659    -0.13     -0.20     0.24     1 
0210402054   29.10711    -89.26394     0.00     -0.07     0.07     1 
0210402055   29.10765    -89.23128     0.03     -0.15     0.15     1 
0210402056   29.10819    -89.19862    -0.14      0.07     0.15     1 
0210402057   29.10872    -89.16596    -0.12     -0.04     0.13     1 
0210402060   29.11027    -89.06798    -0.34      0.05     0.35     1 
0210402128   29.08112    -89.29603    -0.04      0.04     0.06     1 
0210402129   29.08167    -89.26338     0.09     -0.04     0.10     1 
0210402130   29.08222    -89.23073     0.05      0.02     0.05     1 
0210402131   29.08276    -89.19808    -0.18     -0.19     0.26     1 
0210402132   29.08329    -89.16543    -0.13     -0.21     0.25     1 
0210402202   29.05512    -89.32810     0.40      0.18     0.43     1 
0210402203   29.05569    -89.29546    -0.12     -0.03     0.12     1 
0210402213   29.06087    -88.96902    -0.26      0.12     0.29     1 
0210402276   29.02912    -89.36016    -0.11      0.08     0.14     1 
0210402277   29.02969    -89.32753    -0.14     -0.04     0.15     1 
0210402281   29.03189    -89.19700     0.21      0.04     0.21     1 
0210402282   29.03242    -89.16437    -0.10     -0.06     0.11     1 
0210402289   29.03591    -88.93590     0.01     -0.01     0.02     1 
0210402336   28.99421    -89.84881    -0.12     -0.23     0.26     1 
0210402351   29.00369    -89.35959    -0.17      0.30     0.35     1 
0210402357   29.00699    -89.16384    -0.07      0.04     0.08     1 
0210402421   28.97530    -89.52207    -0.06      0.12     0.13     1 
0210402426   28.97826    -89.35901    -0.12      0.11     0.16     1 
0210402491   28.94671    -89.68444    -0.04     -0.06     0.07     1 
0210402500   28.95225    -89.39104    -0.23     -0.07     0.24     1 
0210402643   28.89715    -89.61797    -0.25     -0.10     0.27     1 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 222

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.024
  Median: -0.030
  Standard Deviation: 0.125

Sample residual statistics:
  Mean: 0.000
  Median: 0.023
  Standard Deviation: 0.138

Quadrant RMSE: 0.188

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 1

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.009
  Median: 0.009
  Standard Deviation: 0.000

Sample residual statistics:
  Mean: -0.014
  Median: -0.014
  Standard Deviation: 0.000

Quadrant RMSE: 0.017

