Mon. Aug. 24, 2020             LANDSAT 5                 Time: 20:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51EDC1010145160100_HDF.202250806
Acquisition Date: May 25, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400178_01   29.331837  -89.776455   -20.614       4.716    -2.649     5.117    -1.766
0210400179_01   29.511359  -89.600844   -20.651      -3.028     2.096    -3.354     1.523
0210400180_01   29.740092  -89.691818   -18.185       1.990    -1.190     2.172    -0.816
0210400181_01   29.483446  -89.644825   -25.199      -2.637     0.315    -2.651    -0.161
0210400182_01   29.236400  -89.326138   -24.000      -6.428     0.667    -6.446    -0.491
0210400183_01   29.608750  -89.723641   -17.990      -0.321     0.826    -0.463     0.756
0210400184_01   29.669133  -89.734852   -20.453       0.578     0.162     0.540     0.263
0210400185_01   29.364191  -89.584674   -27.040      -1.219     5.213    -2.131     4.914
0210400189_01   29.146555  -89.174346   -25.000       2.760    -2.305     3.129    -1.775
0210400190_01   29.153403  -89.393082   -23.000      -5.734    -3.560    -5.007    -4.528
0210400192_01   29.527585  -89.544795   -24.110       6.579     0.176     6.445     1.347
0210400193_01   29.289164  -89.440770   -29.202       6.561     2.613     5.992     3.744
0210400194_01   29.342958  -89.311400   -21.319      -3.567     5.950    -4.574     5.220
0210400195_01   29.265051  -89.213232   -24.414      -4.265     0.260    -4.244    -0.505
0210400196_01   29.247659  -89.462491   -20.690      -1.245    -4.715    -0.383    -4.863
0210400197_01   29.679516  -89.663570   -18.248       0.711    -1.619     0.990    -1.467
0210400198_01   29.328218  -89.526555   -18.241       0.170     0.679     0.046     0.699
0210400199_01   29.270333  -89.154693   -23.073       1.608     0.233     1.541     0.517
